Fájlnév;Hiba típus;Részletek
._31737.pdf;OCR_FAILED;Nem olvasható szöveg
._31752.pdf;OCR_FAILED;Nem olvasható szöveg
._31755.pdf;OCR_FAILED;Nem olvasható szöveg
._31815.pdf;OCR_FAILED;Nem olvasható szöveg
._31830.pdf;OCR_FAILED;Nem olvasható szöveg
._31835.pdf;OCR_FAILED;Nem olvasható szöveg
._31865.pdf;OCR_FAILED;Nem olvasható szöveg
._31870.pdf;OCR_FAILED;Nem olvasható szöveg
._31871.pdf;OCR_FAILED;Nem olvasható szöveg
._31872.pdf;OCR_FAILED;Nem olvasható szöveg
._31873.pdf;OCR_FAILED;Nem olvasható szöveg
._31875.pdf;OCR_FAILED;Nem olvasható szöveg
._31876.pdf;OCR_FAILED;Nem olvasható szöveg
._31877.pdf;OCR_FAILED;Nem olvasható szöveg
._31878.pdf;OCR_FAILED;Nem olvasható szöveg
._31879.pdf;OCR_FAILED;Nem olvasható szöveg
._31880.pdf;OCR_FAILED;Nem olvasható szöveg
._31881.pdf;OCR_FAILED;Nem olvasható szöveg
._31882.pdf;OCR_FAILED;Nem olvasható szöveg
._31883.pdf;OCR_FAILED;Nem olvasható szöveg
._31884.pdf;OCR_FAILED;Nem olvasható szöveg
._31885.pdf;OCR_FAILED;Nem olvasható szöveg
._31886.pdf;OCR_FAILED;Nem olvasható szöveg
._31887.pdf;OCR_FAILED;Nem olvasható szöveg
._31888.pdf;OCR_FAILED;Nem olvasható szöveg
._31889.pdf;OCR_FAILED;Nem olvasható szöveg
._31890.pdf;OCR_FAILED;Nem olvasható szöveg
._31891.pdf;OCR_FAILED;Nem olvasható szöveg
._31892.pdf;OCR_FAILED;Nem olvasható szöveg
._31893.pdf;OCR_FAILED;Nem olvasható szöveg
._31894.pdf;OCR_FAILED;Nem olvasható szöveg
._31895.pdf;OCR_FAILED;Nem olvasható szöveg
._31896.pdf;OCR_FAILED;Nem olvasható szöveg
._31897.pdf;OCR_FAILED;Nem olvasható szöveg
